pair,row_index,clip_id,group_idx,clip_name,target,prediction,correct,left_label,right_label,left_token,right_token,left_logit,right_logit
goal_vs_corner,0,0jJj5Mme,1,IM_15,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,0.07431891560554504,0.08772635459899902
goal_vs_corner,1,nsbnKlSp,2,IM_7,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,1.1120946407318115,-2.117560625076294
goal_vs_corner,2,AmNbkU2m,2,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.8200567960739136,-2.615938425064087
goal_vs_corner,3,reYzH7wg,1,IM_7,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.24507054686546326,-0.39191579818725586
goal_vs_corner,4,OziK3ff0,1,IM_10,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,1.7836016416549683,-1.6447105407714844
goal_vs_corner,5,xx6GTsEM,2,IM_1,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,4.322460651397705,1.0743591785430908
goal_vs_corner,6,xx6GTsEM,2,IM_9,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,1.2131985425949097,3.183011293411255
goal_vs_corner,7,UBdITpNb,1,IM_7,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-4.255425930023193,-3.873586654663086
goal_vs_corner,8,bZhxz4I5,2,IM_3,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.42526674270629883,-1.5180619955062866
goal_vs_corner,9,bBW7eQ6s,1,IM_2,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.49762219190597534,-0.5913986563682556
goal_vs_corner,10,bevos1dM,2,IM_8,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.7173974514007568,-2.8135762214660645
goal_vs_corner,11,hK46TwNp,1,IM_12,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-0.8563677668571472,-5.22574520111084
goal_vs_corner,12,ABcIbvu8,1,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.6861781477928162,-1.886333703994751
goal_vs_corner,13,63fde7Re,1,IM_2,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-1.9251019954681396,0.2385920286178589
goal_vs_corner,14,G6wyC3XE,1,IM_7,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-0.13493210077285767,-2.1434969902038574
goal_vs_corner,15,GEF9XGeE,1,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-1.5101100206375122,-3.2360472679138184
goal_vs_corner,16,fN94DUin,2,IM_11,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-4.482663154602051,-5.435142517089844
goal_vs_corner,17,63fde7Re,1,IM_6,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-3.953432321548462,-3.4081976413726807
goal_vs_corner,18,4rxwHJn7,2,IM_14,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-3.9866738319396973,-4.039727210998535
goal_vs_corner,19,Yo4Xirtq,1,IM_6,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-3.7856264114379883,-2.122028112411499
goal_vs_corner,20,reYzH7wg,1,IM_10,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-0.9828223586082458,-0.9796231389045715
goal_vs_corner,21,0jJj5Mme,2,IM_16,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,1.7555480003356934,0.2870643436908722
goal_vs_corner,22,l0uNkr78,2,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-1.7498517036437988,-4.311438083648682
goal_vs_corner,23,ChTFpiaS,1,IM_1,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-2.626595973968506,-1.9474822282791138
goal_vs_corner,24,0jJj5Mme,1,IM_10,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,4.4816365242004395,1.8085883855819702
goal_vs_corner,25,UcZVYDFH,2,IM_5,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.7138429284095764,-0.9240831136703491
goal_vs_corner,26,Yo4Xirtq,2,IM_5,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-0.15923283994197845,-0.7577241063117981
goal_vs_corner,27,6ZIJp6HI,2,IM_2,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-1.3293763399124146,-0.7274721264839172
goal_vs_corner,28,OziK3ff0,1,IM_1,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-2.3026936054229736,-4.076254844665527
goal_vs_corner,29,pU7DyBbB,1,IM_3,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.3989454209804535,-0.7355750799179077
goal_vs_corner,30,xx6GTsEM,2,IM_13,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-2.6381325721740723,-3.7132763862609863
goal_vs_corner,31,nsbnKlSp,1,IM_2,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,2.6483616828918457,-0.33099108934402466
goal_vs_corner,32,ChTFpiaS,2,IM_11,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-0.10092855989933014,-3.287982940673828
goal_vs_corner,33,bBW7eQ6s,1,IM_4,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,1.8496787548065186,-3.5340278148651123
goal_vs_corner,34,r9gYBR53,1,IM_2,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-1.9286649227142334,-2.1159896850585938
goal_vs_corner,35,ABcIbvu8,1,IM_1,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-1.1158992052078247,-2.254840135574341
goal_vs_corner,36,IwW928Oa,2,IM_15,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-0.5696172714233398,-1.5012693405151367
goal_vs_corner,37,Ov5idmCk,1,IM_5,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,0.2838250994682312,-2.818798780441284
goal_vs_corner,38,KIMzryr9,2,IM_8,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-1.5280064344406128,-5.251340389251709
goal_vs_corner,39,4rxwHJn7,2,IM_9,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,1.059429407119751,-2.174248456954956
goal_vs_corner,40,ABcIbvu8,2,IM_9,GOAL,GOAL,True,GOAL,CORNER/THROW-IN,goal,corner,-0.444292813539505,-1.2452553510665894
goal_vs_corner,41,0jJj5Mme,1,IM_9,GOAL,CORNER/THROW-IN,False,GOAL,CORNER/THROW-IN,goal,corner,-0.292805016040802,1.676493763923645
